model_name,tag,split,device,commit,attack,eps,eps255,defense,params,acc_clean,clean_def_acc,clean_penalty,acc_adv,acc_def,drop,recovery,time_ms_per_img,iters,step255,restarts,subset_n,query_budget,queries_per_img,median_l2,mean_l2,notes,run_id
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.0989,0.6689,0.8357,0.682062941246859,4.352494737500092,,,,,,,,,loaded,1766638895-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,none,{},0.9346,0.9346,0.0,0.6094,0.6094,0.32519999999999993,0.0,0.2283345542004099,,,,,,,,,loaded; baseline-no-defense,1766639181-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.6094,0.7249,0.32519999999999993,0.35516605166051646,0.23204885829909472,,,,,,,,,loaded,1766639181-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,none,{},0.9346,0.9346,0.0,0.2663,0.2663,0.6683,0.0,0.23034726660116575,,,,,,,,,loaded; baseline-no-defense,1766639181-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.2663,0.6578,0.6683,0.5858147538530601,0.23071289170038653,,,,,,,,,loaded,1766639181-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,none,{},0.9346,0.9346,0.0,0.0989,0.0989,0.8357,0.0,0.2301402083001449,,,,,,,,,loaded; baseline-no-defense,1766639181-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.0989,0.6088,0.8357,0.6101471820031112,0.2308672958999523,,,,,,,,,loaded,1766639181-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,none,{},0.9346,0.9346,0.0,0.6094,0.6094,0.32519999999999993,0.0,0.22829835829907097,,,,,,,,,loaded; baseline-no-defense,1766639220-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.773,-0.16159999999999997,0.6094,0.7056,0.32519999999999993,0.29581795817958173,0.23205428749934073,,,,,,,,,loaded,1766639220-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,none,{},0.9346,0.9346,0.0,0.2663,0.2663,0.6683,0.0,0.2301415249996353,,,,,,,,,loaded; baseline-no-defense,1766639220-34ede61
